,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_final_estimator__gamma,param_final_estimator__learning_rate,param_final_estimator__max_depth,param_gb__max_depth,param_gb__max_features,param_rf__max_features,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
47,1105.440197110176,30.721694827079773,1.76506769657135,0.0840681791305542,1,0.1,3,5,8,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 3, 'gb__max_depth': 5, 'gb__max_features': 8, 'rf__max_features': 5}",0.8204440387520161,0.8234898677079173,0.8219669532299667,0.0015229144779506099,1,0.9485837727827932,0.9424439369659319,0.9455138548743625,0.0030699179084306416
107,1224.630375623703,80.82835626602173,1.2265454530715942,0.13282835483551025,5,0.01,8,5,8,5,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 8, 'rf__max_features': 5}",0.8219200473632062,0.8217525878878252,0.8218363176255157,8.372973769049663e-05,2,0.9506824152569369,0.9608289197997938,0.9557556675283654,0.005073252271428463
45,1225.5908091068268,143.44732189178467,1.891173005104065,0.0218278169631958,1,0.1,3,5,5,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 3, 'gb__max_depth': 5, 'gb__max_features': 5, 'rf__max_features': 5}",0.8209291935393627,0.8225647996338323,0.8217469965865976,0.0008178030472348329,3,0.9636202683134817,0.9491662743184253,0.9563932713159535,0.007226996997528212
21,1215.6357246637344,0.25274908542633057,1.1060487031936646,0.024392008781433105,1,0.01,5,5,5,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 5, 'gb__max_depth': 5, 'gb__max_features': 5, 'rf__max_features': 5}",0.8219624253539618,0.8214734761049908,0.8217179507294763,0.0002444746244855134,4,0.951677093793374,0.9341256208548988,0.9429013573241364,0.008775736469237572
95,1212.742473244667,39.915303111076355,0.9497874975204468,0.0033305883407592773,5,0.01,5,5,8,5,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 5, 'gb__max_depth': 5, 'gb__max_features': 8, 'rf__max_features': 5}",0.8211654963804981,0.821935450737536,0.8215504735590171,0.00038497717851898594,5,0.9561545618918719,0.9627572269699564,0.9594558944309142,0.0033013325390422454
37,1128.7413890361786,46.32685160636902,1.3962390422821045,0.266585111618042,1,0.1,3,2,2,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 3, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 5}",0.8207801496893825,0.822104358169296,0.8214422539293392,0.0006621042399567179,6,0.9501646136490168,0.9275799740249415,0.9388722938369791,0.011292319812037654
57,919.232436299324,3.445044159889221,1.459479808807373,0.5616259574890137,1,0.1,5,5,5,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 5, 'gb__max_depth': 5, 'gb__max_features': 5, 'rf__max_features': 5}",0.8221747850261921,0.8206645417296249,0.8214196633779085,0.0007551216482836187,7,0.9543386460605551,0.9296418746200905,0.9419902603403227,0.01234838572023228
87,1207.0007688999176,117.28633761405945,1.8652751445770264,0.42512965202331543,5,0.01,5,2,5,5,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 5, 'gb__max_depth': 2, 'gb__max_features': 5, 'rf__max_features': 5}",0.8213443371183111,0.8211494133561257,0.8212468752372184,9.74618810927197e-05,8,0.9524736795069728,0.9262038728118195,0.9393387761593961,0.013134903347576665
11,1301.3612483739853,36.96107494831085,2.531997561454773,0.8219994306564331,1,0.01,3,5,8,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 5, 'gb__max_features': 8, 'rf__max_features': 5}",0.8204465766020038,0.8220183880470784,0.8212324823245412,0.0007859057225372834,9,0.9456956259948295,0.9565476933641887,0.9511216596795091,0.005426033684679588
79,1193.3813138008118,2.673755168914795,1.5937514305114746,0.2968788146972656,5,0.01,3,5,2,5,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 5}",0.8213572336570407,0.821062485183629,0.8212098594203349,0.00014737423670585503,10,0.9585862161377616,0.9554731848615869,0.9570297004996743,0.0015565156380873413
9,1264.2641733884811,0.17899787425994873,1.9155007600784302,0.2684997320175171,1,0.01,3,5,5,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 5, 'gb__max_features': 5, 'rf__max_features': 5}",0.8211448295879734,0.8211068662998591,0.8211258479439163,1.8981644057169955e-05,11,0.9581775730093501,0.9610725234316135,0.9596250482204818,0.001447475211131699
7,1154.3621661663055,145.26211261749268,0.945500373840332,0.02249884605407715,1,0.01,3,5,2,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 5}",0.8216659157547711,0.82058511197785,0.8211255138663105,0.000540401888460551,12,0.9455217485330649,0.9570192711120313,0.9512705098225481,0.005748761289483206
